Tarih,USD
24-01-2011,1.58,
25-01-2011,1.57,
26-01-2011,1.56,
27-01-2011,1.57,
28-01-2011,1.58,
31-01-2011,1.59,
01-02-2011,1.61,
02-02-2011,1.59,
03-02-2011,1.58,
04-02-2011,1.58,
07-02-2011,1.60,
08-02-2011,1.58,
09-02-2011,1.57,
10-02-2011,1.59,
11-02-2011,1.60,
14-02-2011,1.60,
15-02-2011,1.59,
16-02-2011,1.60,
17-02-2011,1.59,
18-02-2011,1.58,
21-02-2011,1.58,
22-02-2011,1.58,
23-02-2011,1.60,
24-02-2011,1.59,
25-02-2011,1.61,
28-02-2011,1.60,
01-03-2011,1.60,
02-03-2011,1.61,
03-03-2011,1.62,
04-03-2011,1.61,
07-03-2011,1.60,
08-03-2011,1.60,
09-03-2011,1.59,
10-03-2011,1.59,
11-03-2011,1.58,
14-03-2011,1.59,
15-03-2011,1.58,
16-03-2011,1.58,
17-03-2011,1.58,
18-03-2011,1.59,
21-03-2011,1.58,
22-03-2011,1.58,
23-03-2011,1.57,
24-03-2011,1.56,
25-03-2011,1.55,
28-03-2011,1.55,
29-03-2011,1.56,
30-03-2011,1.56,
31-03-2011,1.56,
01-04-2011,1.54,
04-04-2011,1.54,
05-04-2011,1.54,
06-04-2011,1.53,
07-04-2011,1.52,
08-04-2011,1.52,
11-04-2011,1.50,
12-04-2011,1.51,
13-04-2011,1.52,
14-04-2011,1.51,
15-04-2011,1.52,
18-04-2011,1.52,
19-04-2011,1.52,
20-04-2011,1.53,
21-04-2011,1.52,
22-04-2011,1.52,
25-04-2011,1.52,
26-04-2011,1.52,
27-04-2011,1.53,
28-04-2011,1.52,
29-04-2011,1.52,
02-05-2011,1.52,
03-05-2011,1.52,
04-05-2011,1.53,
05-05-2011,1.54,
06-05-2011,1.54,
09-05-2011,1.54,
10-05-2011,1.54,
11-05-2011,1.56,
12-05-2011,1.57,
13-05-2011,1.59,
16-05-2011,1.58,
17-05-2011,1.59,
18-05-2011,1.59,
20-05-2011,1.58,
23-05-2011,1.58,
24-05-2011,1.61,
25-05-2011,1.60,
26-05-2011,1.60,
27-05-2011,1.60,
30-05-2011,1.61,
31-05-2011,1.60,
01-06-2011,1.59,
02-06-2011,1.59,
03-06-2011,1.59,
06-06-2011,1.58,
07-06-2011,1.58,
08-06-2011,1.58,
09-06-2011,1.59,
10-06-2011,1.58,
13-06-2011,1.58,
14-06-2011,1.57,
15-06-2011,1.58,
16-06-2011,1.60,
17-06-2011,1.62,
20-06-2011,1.60,
21-06-2011,1.61,
22-06-2011,1.60,
23-06-2011,1.61,
24-06-2011,1.63,
27-06-2011,1.63,
28-06-2011,1.64,
29-06-2011,1.64,
30-06-2011,1.64,
01-07-2011,1.62,
04-07-2011,1.62,
05-07-2011,1.61,
06-07-2011,1.63,
07-07-2011,1.63,
08-07-2011,1.64,
11-07-2011,1.62,
12-07-2011,1.64,
13-07-2011,1.65,
14-07-2011,1.65,
15-07-2011,1.65,
18-07-2011,1.65,
19-07-2011,1.66,
20-07-2011,1.66,
21-07-2011,1.66,
22-07-2011,1.67,
25-07-2011,1.67,
26-07-2011,1.72,
27-07-2011,1.72,
28-07-2011,1.70,
29-07-2011,1.68,
01-08-2011,1.68,
02-08-2011,1.67,
03-08-2011,1.70,
04-08-2011,1.71,
05-08-2011,1.72,
08-08-2011,1.74,
09-08-2011,1.75,
10-08-2011,1.77,
11-08-2011,1.75,
12-08-2011,1.78,
15-08-2011,1.78,
16-08-2011,1.77,
17-08-2011,1.78,
18-08-2011,1.77,
19-08-2011,1.78,
22-08-2011,1.79,
23-08-2011,1.79,
24-08-2011,1.78,
25-08-2011,1.78,
26-08-2011,1.77,
29-08-2011,1.75,
02-09-2011,1.75,
05-09-2011,1.74,
06-09-2011,1.76,
07-09-2011,1.77,
08-09-2011,1.75,
09-09-2011,1.77,
12-09-2011,1.78,
13-09-2011,1.79,
14-09-2011,1.78,
15-09-2011,1.77,
16-09-2011,1.78,
19-09-2011,1.78,
20-09-2011,1.80,
21-09-2011,1.80,
22-09-2011,1.80,
23-09-2011,1.83,
26-09-2011,1.84,
27-09-2011,1.85,
28-09-2011,1.85,
29-09-2011,1.85,
30-09-2011,1.85,
03-10-2011,1.86,
04-10-2011,1.87,
05-10-2011,1.90,
06-10-2011,1.88,
07-10-2011,1.85,
10-10-2011,1.84,
11-10-2011,1.84,
12-10-2011,1.84,
13-10-2011,1.83,
14-10-2011,1.83,
17-10-2011,1.84,
18-10-2011,1.84,
19-10-2011,1.87,
20-10-2011,1.85,
21-10-2011,1.87,
24-10-2011,1.85,
25-10-2011,1.83,
26-10-2011,1.80,
27-10-2011,1.77,
28-10-2011,1.76,
31-10-2011,1.76,
01-11-2011,1.75,
02-11-2011,1.79,
03-11-2011,1.78,
04-11-2011,1.78,
10-11-2011,1.75,
11-11-2011,1.79,
14-11-2011,1.78,
15-11-2011,1.78,
16-11-2011,1.79,
17-11-2011,1.80,
18-11-2011,1.81,
21-11-2011,1.82,
22-11-2011,1.84,
23-11-2011,1.84,
24-11-2011,1.86,
25-11-2011,1.86,
28-11-2011,1.88,
29-11-2011,1.86,
30-11-2011,1.85,
01-12-2011,1.85,
02-12-2011,1.83,
05-12-2011,1.82,
06-12-2011,1.83,
07-12-2011,1.84,
08-12-2011,1.83,
09-12-2011,1.83,
12-12-2011,1.85,
13-12-2011,1.86,
14-12-2011,1.87,
15-12-2011,1.88,
16-12-2011,1.88,
19-12-2011,1.88,
20-12-2011,1.89,
21-12-2011,1.90,
22-12-2011,1.88,
23-12-2011,1.89,
26-12-2011,1.89,
27-12-2011,1.89,
28-12-2011,1.89,
29-12-2011,1.90,
30-12-2011,1.92,
02-01-2012,1.90,
03-01-2012,1.89,
04-01-2012,1.89,
05-01-2012,1.87,
06-01-2012,1.88,
09-01-2012,1.88,
10-01-2012,1.87,
11-01-2012,1.87,
12-01-2012,1.86,
13-01-2012,1.85,
16-01-2012,1.85,
17-01-2012,1.85,
18-01-2012,1.84,
19-01-2012,1.84,
20-01-2012,1.83,
23-01-2012,1.83,
24-01-2012,1.83,
25-01-2012,1.82,
26-01-2012,1.83,
